Cuenta;Descripción
1.0.0.00.000;ACTIVO
1.1.0.00.000;ACTIVO CORRIENTE
1.1.1.00.000;CAJA Y BANCOS
1.1.1.01.000;CAJA
1.1.1.01.001;Caja Box
1.1.1.01.002;Caja Postgrado
1.1.1.01.003;Caja Odontologico
1.1.1.02.000;BANCOS
1.1.1.02.001;Banco Industrial Cta.Cte.
1.1.1.02.002;Banco Industrial Cta.Cte.
1.1.1.04.000;MONEDA EXTRANJERA
1.1.1.04.001;Mon.Ext.Box.
1.1.1.04.002;Mon.Ext.Postgrado
1.1.1.04.003;Mon. Ext. C.Odontologico
1.1.1.05.000;FONDO FIJO
1.1.1.05.001;Fondo Fijo Box
1.1.1.05.002;Fondo Fijo Postgrado
1.1.1.05.003;Fondo Fijo C. Odontologico
1.1.1.06.000;FONDOS PENDIENTES DE REND.
1.1.2.00.000;CREDITOS POR VENTAS
1.1.2.01.000;Deudores por Ventas
1.1.2.01.001;Alumnos Grado
1.1.2.01.002;Pacientes Cátedras
1.1.2.01.003;Cliente Ocasional
1.1.2.01.004;Alumnos Postgrado
1.1.2.01.005;Pacientes Postgrado
1.1.2.01.006;Pacientes C. Odontológico
1.1.2.01.007;ASPE
1.1.2.02.000;DEUDORES VARIOS
1.1.2.02.001;FAAIE
1.1.2.02.002;Colgate
1.1.2.02.003;Otros Deudores
1.1.3.00.000;OTROS CREDITOS
1.1.3.01.000;IVA Crédito Fiscal
1.1.3.02.000;Retenciones Ingresos Brutos
1.1.3.03.000;Retenciones IVA
1.1.3.04.000;Retenciones Ganancias
1.1.3.05.000;Anticipos a Proveedores
1.1.4.00.000;BIENES DE CAMBIO
1.1.4.01.000;Insumos
1.1.4.02.000;Productos en Proceso
1.1.4.03.000;Productos Terminados
1.1.4.04.000;Mercaderías de Reventa
1.2.0.00.000;ACTIVO NO CORRIENTE
1.2.1.00.000;BIENES DE USO
1.2.1.01.000;Maquinas y Equipos
1.2.1.02.000;Amort.Acum.Maq.y Equipos
1.2.1.03.000;Herram. e Implementos Vs.
1.2.1.04.000;Amort.Acum.Herr.e Implem.Vs.
1.2.1.05.000;Instalaciones
1.2.1.06.000;Amort.Acum.Instalaciones
1.2.1.07.000;Muebles y Utiles
1.2.1.08.000;Amort.Acum.Muebles y Utiles
1.2.1.09.000;Equipos de Comput. y Telef.
1.2.1.10.000;Amort.Acum.Eq.Comput.y Telef.
1.3.0.00.000;CUENTAS TRANSITORIAS
1.3.1.00.000;Partidas en Suspenso
2.0.0.00.000;PASIVO
2.1.0.00.000;PASIVOS CORRIENTES
2.1.1.00.000;DEUDAS COMERCIALES
2.1.1.01.000;PROVEEDORES
2.1.1.01.001;Olimpyc Dental
2.1.1.01.002;Ebano srl
2.1.1.01.003;Drogueria Saporiti
2.1.1.01.004;Diego Pecora
2.1.1.01.005;Norte envases
2.1.1.01.006;Odontomatric
2.1.1.01.007;Santiago Dondena- dental sd
2.1.1.01.008;Mario Javier Fernandez Lopez
2.1.1.01.009;Belir sa - Grimberg
2.1.1.01.010;Teseyra, Alicia - Salud Dental
2.1.1.01.011;Otros Proveedores
2.1.1.02.000;ACREEDORES VARIOS
2.1.1.02.001;Holistor
2.1.1.02.002;Estudio Sota
2.1.1.02.003;Siprosa -Dpto Fiscalización
2.1.1.02.004;Ibañez , Mario
2.1.1.02.005;Romano , Silvia
2.1.1.02.006;Cuezzo, Viviana
2.1.1.02.007;Prieto, Carolina
2.1.1.02.008;Tecnicos de Protesis
2.1.1.02.009;Otros Acreedores
2.1.2.00.000;DEUDAS SOCIALES
2.1.2.01.000;Pasantias a Pagar
2.1.2.02.000;Personal a Pagar
2.1.2.03.000;Asistentes Cursos a Pagar
2.1.2.04.000;Suss a Pagar
2.1.2.05.000;A.E.C a Pagar
2.1.2.06.000;FAECYS a Pagar
2.1.2.07.000;Otras Leyes Sociales a Pagar
2.1.3.00.000;DEUDAS FISCALES
2.1.3.01.000;Ingresos Brutos a Pagar
2.1.3.01.001;Ing.Brutos a Pagar Pcia.1
2.1.3.01.002;Ing.Brutos a Pagar Pcia.2
2.1.3.02.000;IVA a Pagar
2.1.4.00.000;DEUDAS BANCARIAS
2.1.4.01.000;Préstamos y Acuerdos Bancarios
2.1.5.00.000;CUENTAS PARTICULARES SOCIOS
2.1.5.01.000;Socio 1 Cta. Part.
2.1.5.02.000;Socio 2 Cta. Part.
2.1.5.03.000;Socio 3 Cta. Part.
2.1.6.00.000;OTRAS DEUDAS
2.1.6.01.000;I.V.A Débito Fiscal
2.1.6.02.000;IVA Resp.No Inscripto
2.1.6.03.000;Alquileres a Pagar
2.1.6.04.000;Seguros a Pagar
3.0.0.00.000;PATRIMONIO NETO
3.1.0.00.000;CAPITAL, RESERVAS Y RESULTADOS
3.1.1.00.000;CAPITAL
3.1.1.01.000;Capital Social
3.1.1.02.000;Ajuste al Capital
3.1.1.03.000;Aporte Irrevocable a Cta. Fut. Susc.
3.1.2.00.000;RESERVAS
3.1.2.01.000;Reserva Legal
3.1.3.00.000;RESULTADOS
3.1.3.01.000;Resultado del Ejercicio
3.1.3.02.000;Resultados No Asignados
3.1.3.03.000;Ajuste Ejercicios Anteriores
3.1.3.04.000;Rtdo. Tenencia Moneda Extranjera
3.1.3.05.000;RECPAM
4.0.0.00.000;INGRESOS
4.1.0.00.000;ORDINARIOS OPERATIVOS
4.1.1.00.000;BOX COOPERADORA
4.1.1.01.000;Inscripcion Cino
4.1.1.02.000;Vtas Cartillas ,Modelos y Otros
4.1.1.03.000;Laboratorio de Insumos
4.1.1.04.000;Laboratorio Protesis
4.1.1.05.000;Atencion Pacientes
4.1.1.06.000;Ventas Kits
4.1.1.07.000;Biblioteca
4.1.1.08.000;Bono Inscripcion
4.1.1.09.000;Publicidad
4.1.1.10.000;Convenios
4.1.1.11.000;Convalidacion Titulo Extranj.
4.1.1.12.000;Aportes Recibidos
4.1.1.13.000;Reintegro Efectivo a Favor
4.1.1.14.000;Bonific. y Descto. Obtenidos
4.1.2.00.000;CENTRO ODONTOLOGICO
4.1.2.01.000;Prestaciones Centro odontologico
4.1.2.02.000;Ingresos Vs. Centro Odontol.
4.1.2.03.000;Intereses Ganados
4.1.2.04.000;Gastos Recuperados
4.1.2.05.000;Otros Ingresos
4.1.2.06.000;Bonifcac. y Descto. Obtenidos
4.1.3.00.000;SECRETARIA POSTGRADO
4.1.3.01.000;Ingresos por Cursos
4.1.3.02.000;Ingresos por Carreras
4.1.3.03.000;Revista
4.1.3.04.000;Bonificac. y Descto. Obtenidos
4.2.0.00.000;ORDINARIOS NO OPERATIVOS
4.2.1.00.000;BOX COOPERADORA
4.2.1.01.000;Donaciones
4.2.1.02.000;Rdo. Vta. Bienes de Uso
4.2.1.03.000;Amortizaciones
